Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,order_month
2065,Women,Lifestyle,Waffle One,L,2,5582.98,0.78,2456.51,2024-02-11,Retail,Hyderabad,21.58,February
2066,Men,Soccer,Phantom GT,XL,2,5259.05,0.5,5259.05,2024-12-10,Online,Mumbai,1022.82,December
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.48,7463.83,2025-05-06,Online,Kolkata,161.5,May
2068,Men,Running,Free RN,L,4,3346.95,0.5,5106.58,2024-12-05,Retail,Mumbai,984.9,December
2069,Women,Training,SuperRep Go,L,2,7502.24,0.47,7952.37,2025-07-14,Online,Pune,3554.58,July
2070,Kids,Running,React Infinity,L,2,6546.46,0.5,6546.46,2024-12-21,Retail,Mumbai,1112.43,December
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,2025-01-12,Retail,Pune,-882.96,January
2072,Men,Training,Flex Trainer,M,3,6424.54,0.47,10215.02,2024-12-21,Retail,Pune,3639.2,December
2073,Women,Lifestyle,Blazer Mid,XL,4,6383.24,0.85,3829.94,2024-11-03,Online,Hyderabad,443.86,November
2074,Men,Training,Flex Trainer,L,2,6424.54,0.57,5525.1,2025-01-16,Online,Kolkata,1958.47,January
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.48,8843.62,2025-07-14,Online,Pune,2345.35,July
2076,Women,Training,ZoomX Invincible,L,2,6944.2,0.47,7360.85,2024-10-13,Retail,Bengaluru,2011.25,October
2077,Men,Training,ZoomX Invincible,L,2,6944.2,0.47,7360.85,2023-11-21,Online,Pune,3332.66,November
2078,Women,Basketball,LeBron 20,XL,0,6970.47,0.48,0.0,2025-01-16,Online,Mumbai,262.79,January
2079,Men,Running,Pegasus Turbo,XL,2,4322.06,0.5,4322.06,2025-01-19,Online,Bengaluru,279.78,January
2080,Men,Lifestyle,Blazer Mid,L,2,6383.24,0.49,6510.9,2025-03-31,Online,Bengaluru,-1005.89,March
2081,Men,Training,ZoomX Invincible,L,2,6944.2,0.47,7360.85,2025-01-16,Online,Mumbai,2810.49,January
2083,Men,Running,Free RN,L,2,8503.27,0.5,9291.74,2024-10-14,Retail,Delhi,-981.21,October
2084,Men,Training,Metcon 7,M,2,5817.695,0.47,6166.76,2023-12-24,Online,Mumbai,408.39,December
2085,Men,Basketball,Kyrie Flytrap,L,2,7561.85,0.48,7864.32,2024-12-17,Retail,Kolkata,98.72,December
2086,Men,Soccer,Mercurial Superfly,L,0,6569.65,0.45,0.0,2024-10-11,Online,Kolkata,1742.66,October
2087,Kids,Basketball,Zoom Freak,M,2,4656.28,0.48,4842.53,2024-11-01,Online,Kolkata,3777.5,November
2088,Women,Running,Free RN,XL,4,6290.99,0.5,12581.98,2025-04-26,Online,Bengaluru,2702.93,April
2089,Women,Training,Flex Trainer,L,2,6874.77,0.6,5499.82,2024-12-02,Online,Mumbai,-1076.66,December
2090,Kids,Lifestyle,Dunk Low,M,2,6202.99,0.49,6327.05,2024-12-21,Retail,Bengaluru,163.15,December
2091,Kids,Running,Air Zoom,L,2,8503.27,0.5,9246.88,2024-12-21,Retail,Mumbai,1917.55,December
2092,Kids,Basketball,Zoom Freak,XL,2,6304.01,0.48,6556.17,2025-01-16,Online,Delhi,207.2,January
2093,Men,Running,Free RN,XL,0,6290.99,0.29,0.0,2025-01-16,Online,Kolkata,-146.73,January
2094,Kids,Training,Flex Trainer,L,1,4276.36,0.47,2266.47,2024-11-10,Retail,Delhi,2974.58,November
2095,Men,Lifestyle,Waffle One,M,2,5582.98,0.49,5694.64,2024-10-16,Online,Delhi,880.57,October
2096,Men,Running,Pegasus Turbo,XL,2,5653.14,0.5,5653.14,2024-12-24,Online,Kolkata,288.66,December
2097,Women,Training,ZoomX Invincible,XL,2,7978.89,0.47,8457.62,2025-01-16,Online,Bengaluru,769.05,January
2098,Men,Training,ZoomX Invincible,L,2,5690.69,0.69,3528.23,2024-01-24,Online,Hyderabad,98.3,January
2099,Kids,Soccer,Mercurial Superfly,M,2,6569.65,0.32,8934.72,2025-02-01,Retail,Mumbai,360.97,February
2100,Kids,Soccer,Phantom GT,M,1,5937.52,0.5,2968.76,2025-07-11,Retail,Mumbai,2287.57,July
2101,Kids,Running,Free RN,XL,2,3346.95,0.5,2010.07,2025-07-03,Online,Hyderabad,3398.01,July
2102,Women,Soccer,Mercurial Superfly,XL,2,6569.65,0.77,3022.04,2025-04-10,Online,Pune,284.17,April
2103,Women,Basketball,LeBron 20,XL,2,6777.88,0.48,7049.0,2025-01-08,Online,Kolkata,469.61,January
2104,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.48,5268.79,2024-12-21,Retail,Delhi,2905.91,December
2105,Kids,Training,Metcon 7,M,2,5744.7,0.47,6089.38,2024-11-17,Retail,Mumbai,1716.04,November
2106,Women,Running,Free RN,L,2,6290.99,0.5,6290.99,2024-12-21,Retail,Bengaluru,76.95,December
2107,Women,Running,React Infinity,M,4,6546.46,0.5,13092.92,2024-08-30,Online,Hyderabad,-184.69,August
2108,Kids,Lifestyle,Air Force 1,XL,2,6235.995,0.27,9104.55,2024-11-15,Retail,Mumbai,-338.77,November
2109,Kids,Basketball,Zoom Freak,M,0,6304.01,0.48,0.0,2025-01-29,Retail,Kolkata,3791.88,January
2110,Kids,Running,Air Zoom,XL,1,5550.99,0.42,3219.57,2024-12-25,Retail,Pune,-259.29,December
2111,Men,Lifestyle,Waffle One,L,2,5582.98,0.49,5694.64,2024-11-21,Retail,Bengaluru,1326.67,November
2112,Women,Training,Metcon 7,M,2,3346.95,0.47,2333.63,2024-12-21,Retail,Bengaluru,697.42,December
2113,Women,Basketball,Air Jordan,XL,2,3939.34,0.48,4096.91,2023-12-19,Retail,Pune,2918.93,December
2114,Women,Training,Flex Trainer,XL,1,3346.95,0.53,1488.65,2024-12-21,Retail,Pune,1567.37,December
2115,Kids,Soccer,Phantom GT,S,2,7607.45,0.5,7607.45,2025-01-16,Online,Kolkata,1969.03,January
2116,Women,Basketball,LeBron 20,XL,2,4038.32,0.48,4199.85,2024-08-27,Online,Hyderabad,2088.55,August
2117,Women,Training,SuperRep Go,L,0,7645.96,0.47,0.0,2024-10-30,Online,Pune,2037.43,October
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.48,8763.6,2023-09-21,Online,Hyderabad,2696.85,September
2119,Women,Training,Metcon 7,L,2,5817.695,0.41,6864.88,2025-04-05,Retail,Kolkata,2887.81,April
2120,Men,Soccer,Phantom GT,XL,2,6393.58,0.5,6393.58,2024-12-14,Retail,Pune,-328.0,December
2122,Kids,Soccer,Mercurial Superfly,M,0,6569.65,0.5,0.0,2024-12-21,Retail,Bengaluru,1078.48,December
2123,Men,Running,Air Zoom,L,2,5550.99,0.5,5550.99,2024-09-15,Retail,Hyderabad,2195.52,September
2124,Kids,Basketball,Kyrie Flytrap,L,2,6436.11,0.48,6693.55,2025-07-04,Online,Kolkata,432.04,July
2125,Women,Soccer,Tiempo Legend,M,2,6045.785,0.5,6045.78,2024-12-10,Retail,Hyderabad,1051.22,December
2126,Kids,Running,Pegasus Turbo,L,2,5399.58,0.5,5399.58,2024-12-14,Retail,Pune,2508.34,December
2127,Men,Training,Metcon 7,L,2,4020.5,0.47,4261.73,2023-08-19,Online,Mumbai,3718.37,August
2128,Women,Basketball,LeBron 20,L,2,8503.27,0.48,9100.74,2024-12-21,Retail,Bengaluru,1411.29,December
2129,Men,Basketball,Zoom Freak,M,2,6304.01,0.48,6556.17,2024-12-21,Retail,Delhi,841.4,December
2130,Men,Soccer,Premier III,L,3,5598.98,0.24,12765.67,2024-09-14,Online,Bengaluru,2962.75,September
2131,Kids,Running,Free RN,XL,2,5561.82,0.5,5561.82,2024-12-21,Retail,Mumbai,2227.48,December
2132,Men,Running,Free RN,L,2,6290.99,0.5,6290.99,2025-01-16,Online,Delhi,3882.22,January
2133,Men,Training,Metcon 7,XL,2,6789.53,0.47,7196.9,2024-10-10,Retail,Pune,-166.81,October
2134,Men,Training,ZoomX Invincible,M,2,4738.62,0.47,5022.94,2024-08-06,Online,Hyderabad,1009.28,August
2135,Men,Basketball,Zoom Freak,L,2,8503.27,0.74,4735.44,2024-11-03,Retail,Hyderabad,2422.38,November
2136,Kids,Training,ZoomX Invincible,L,1,6944.2,0.47,3680.43,2024-09-15,Online,Pune,3672.24,September
2137,Men,Soccer,Phantom GT,M,0,5222.02,0.95,0.0,2025-01-12,Online,Delhi,1796.76,January
2138,Men,Running,Pegasus Turbo,L,2,8055.2,0.5,8055.2,2025-06-14,Online,Mumbai,1840.09,June
2139,Women,Basketball,Air Jordan,M,2,6165.08,0.48,6411.68,2025-06-19,Retail,Mumbai,-334.52,June
2140,Men,Basketball,Zoom Freak,M,2,6765.74,0.48,7036.37,2025-04-28,Online,Bengaluru,-875.45,April
2141,Kids,Soccer,Tiempo Legend,M,2,6045.785,0.5,6045.78,2023-11-22,Retail,Kolkata,-1032.47,November
2142,Kids,Soccer,Mercurial Superfly,M,2,6569.65,0.5,6569.65,2024-10-03,Retail,Kolkata,-995.59,October
2143,Kids,Training,ZoomX Invincible,L,2,6944.2,0.47,7360.85,2025-03-10,Online,Delhi,1006.66,March
2144,Women,Lifestyle,Waffle One,L,4,5582.98,0.49,11389.28,2025-03-30,Online,Kolkata,2385.1,March
2145,Men,Lifestyle,Blazer Mid,S,0,6383.24,0.67,0.0,2024-07-30,Online,Bengaluru,1335.45,July
2146,Kids,Basketball,Air Jordan,XL,2,6165.08,0.48,6411.68,2025-02-15,Retail,Mumbai,-908.85,February
2147,Women,Soccer,Phantom GT,XL,2,6393.58,0.5,6393.58,2024-09-14,Online,Hyderabad,-426.53,September
2148,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.48,5268.79,2025-06-19,Online,Hyderabad,520.55,June
2149,Women,Running,Pegasus Turbo,L,2,5653.14,0.5,5653.14,2025-05-20,Online,Kolkata,-595.69,May
2150,Women,Basketball,LeBron 20,M,2,3346.95,0.48,3445.74,2025-07-06,Online,Bengaluru,3221.62,July
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.5,11239.5,2025-05-27,Online,Bengaluru,2000.85,May
2152,Women,Running,Free RN,M,2,6290.99,0.5,6290.99,2025-01-16,Online,Bengaluru,3819.41,January
2153,Men,Running,React Infinity,L,0,6546.46,0.09,0.0,2024-08-18,Retail,Pune,1246.58,August
2154,Kids,Lifestyle,Blazer Mid,XL,2,3346.95,0.49,3022.42,2025-04-01,Online,Bengaluru,2381.85,April
2155,Men,Soccer,Phantom GT,M,3,6393.58,0.5,9590.37,2025-01-16,Online,Hyderabad,1475.15,January
2156,Men,Soccer,Tiempo Legend,M,0,6045.785,0.5,0.0,2024-08-31,Online,Pune,-286.07,August
2157,Kids,Soccer,Premier III,M,1,5598.98,0.5,2799.49,2025-04-29,Online,Delhi,-701.01,April
2158,Women,Running,React Infinity,M,2,6546.46,0.5,6546.46,2025-01-28,Online,Mumbai,514.79,January
2159,Women,Training,ZoomX Invincible,XL,2,3987.65,0.47,4226.91,2024-12-21,Retail,Delhi,2781.72,December
2160,Kids,Running,Air Zoom,XL,2,5550.99,0.5,5550.99,2025-03-01,Retail,Mumbai,3744.91,March
2161,Kids,Lifestyle,Waffle One,M,0,5119.41,0.8,0.0,2025-01-16,Online,Pune,1956.8,January
2162,Men,Lifestyle,Blazer Mid,M,2,7662.11,0.49,7815.35,2025-01-16,Online,Mumbai,2398.55,January
2163,Men,Lifestyle,Dunk Low,S,2,6202.99,0.49,6327.05,2025-03-06,Retail,Hyderabad,3344.98,March
2164,Women,Soccer,Mercurial Superfly,M,0,6569.65,0.95,0.0,2024-10-23,Online,Pune,-872.9,October
2165,Kids,Training,SuperRep Go,L,4,4577.65,0.47,9704.62,2024-11-11,Retail,Kolkata,2460.19,November
2166,Women,Lifestyle,Air Force 1,M,2,7312.38,0.49,7458.63,2025-02-01,Online,Mumbai,3364.05,February
2167,Men,Running,React Infinity,XL,3,3346.95,0.5,4583.68,2024-12-21,Retail,Mumbai,1259.58,December
2168,Women,Running,Pegasus Turbo,L,2,5653.14,0.85,1695.94,2024-08-01,Retail,Kolkata,3011.49,August
2169,Kids,Training,Flex Trainer,M,4,4046.05,0.01,14613.12875,2024-12-14,Retail,Delhi,1057.58,December
2170,Kids,Lifestyle,Air Force 1,M,0,6235.995,0.49,0.0,2025-06-28,Online,Kolkata,3218.82,June
2172,Women,Training,ZoomX Invincible,M,2,7988.99,0.47,8468.33,2024-12-17,Online,Bengaluru,-909.86,December
2173,Men,Running,Free RN,L,2,6620.78,0.5,6620.78,2025-03-29,Online,Bengaluru,3770.03,March
2174,Women,Soccer,Phantom GT,L,2,3883.92,0.5,3883.92,2024-12-21,Retail,Pune,428.5,December
2175,Women,Lifestyle,Blazer Mid,L,2,6383.24,0.49,6510.9,2025-01-16,Online,Pune,2457.78,January
2176,Men,Soccer,Mercurial Superfly,M,4,6569.65,0.5,13139.3,2025-01-04,Online,Bengaluru,3908.28,January
2177,Women,Lifestyle,Waffle One,XL,2,5582.98,0.49,5694.64,2025-06-27,Retail,Mumbai,885.37,June
2178,Men,Running,Free RN,L,1,6290.99,0.5,3145.5,2024-10-28,Retail,Bengaluru,-983.37,October
2179,Women,Training,ZoomX Invincible,M,3,6944.2,0.47,11041.28,2024-01-26,Retail,Pune,3135.92,January
2180,Women,Basketball,LeBron 20,XL,2,6518.715,0.48,6779.46,2024-05-15,Online,Pune,2189.84,May
2181,Women,Lifestyle,Air Force 1,XL,2,6235.995,0.49,6360.71,2025-01-06,Retail,Delhi,419.58,January
2182,Kids,Basketball,Zoom Freak,L,2,7214.55,0.48,7503.13,2025-01-16,Online,Mumbai,-662.77,January
2183,Kids,Lifestyle,Waffle One,M,2,5389.56,0.49,5497.35,2025-01-16,Online,Pune,2927.93,January
2184,Men,Soccer,Mercurial Superfly,XL,4,6569.65,0.5,13139.3,2024-12-21,Retail,Hyderabad,1980.73,December
2185,Women,Training,ZoomX Invincible,XL,4,4207.44,0.59,6900.2,2025-06-08,Online,Kolkata,-615.48,June
2186,Men,Running,React Infinity,L,0,6546.46,0.5,0.0,2024-12-21,Retail,Bengaluru,540.83,December
2187,Men,Running,React Infinity,L,2,7795.32,0.5,7795.32,2024-11-09,Online,Mumbai,2402.99,November
2188,Men,Running,React Infinity,L,2,6546.46,0.5,6546.46,2025-01-16,Online,Pune,1278.03,January
2189,Men,Training,SuperRep Go,L,3,5280.57,0.9,1584.17,2024-10-02,Online,Hyderabad,3628.46,October
2190,Kids,Basketball,Kyrie Flytrap,L,2,4280.01,0.66,2910.41,2025-01-16,Online,Delhi,1949.77,January
2191,Men,Lifestyle,Air Force 1,M,3,6235.995,0.49,9541.07,2024-09-28,Retail,Pune,-1032.88,September
2192,Men,Basketball,Kyrie Flytrap,XL,2,5066.14,0.48,5268.79,2023-10-13,Retail,Delhi,554.91,October
2193,Women,Lifestyle,Waffle One,XL,2,5582.98,0.49,5694.64,2025-01-17,Retail,Delhi,1803.66,January
2194,Men,Soccer,Mercurial Superfly,M,2,6196.01,0.5,6196.01,2024-10-27,Online,Hyderabad,926.03,October
2195,Women,Training,SuperRep Go,L,2,5280.57,0.51,5174.96,2025-01-16,Online,Delhi,1041.81,January
2196,Kids,Soccer,Premier III,L,2,3346.95,0.5,2708.73,2025-06-30,Online,Delhi,925.63,June
2197,Kids,Training,ZoomX Invincible,L,3,6944.2,0.47,11041.28,2024-10-06,Online,Bengaluru,-418.5,October
2198,Men,Training,SuperRep Go,S,4,5280.57,0.65,7392.8,2025-01-05,Online,Pune,-169.33,January
2199,Men,Soccer,Premier III,M,1,5598.98,0.5,2799.49,2024-12-21,Retail,Kolkata,389.94,December
2200,Men,Basketball,Air Jordan,M,3,5570.72,0.48,8690.32,2025-01-16,Online,Delhi,1513.76,January
2201,Women,Training,SuperRep Go,L,2,5280.57,0.47,5597.4,2024-05-10,Online,Mumbai,1403.56,May
2202,Men,Basketball,Kyrie Flytrap,M,2,7918.93,0.48,475.14,2025-07-04,Retail,Bengaluru,1994.42,July
2203,Men,Lifestyle,Air Force 1,M,0,6903.22,0.49,0.0,2025-01-16,Online,Pune,1556.95,January
2204,Men,Basketball,LeBron 20,S,2,7660.41,0.48,7966.83,2025-05-17,Online,Delhi,2076.75,May
2205,Women,Running,React Infinity,XL,0,6546.46,0.5,0.0,2025-04-24,Retail,Pune,-467.52,April
2206,Men,Training,Flex Trainer,M,2,6424.54,0.47,6810.01,2025-01-16,Online,Delhi,-524.85,January
2207,Women,Running,Pegasus Turbo,XL,2,5653.14,0.5,5653.14,2025-01-16,Online,Hyderabad,2101.41,January
2208,Women,Basketball,LeBron 20,M,2,5172.62,0.97,310.36,2024-12-21,Retail,Hyderabad,-1074.04,December
2209,Kids,Training,SuperRep Go,L,2,5280.57,0.47,5597.4,2024-09-01,Retail,Hyderabad,1956.7,September
2210,Men,Lifestyle,Blazer Mid,XL,2,6383.24,0.49,6510.9,2024-08-09,Retail,Kolkata,701.02,August
2212,Women,Lifestyle,Blazer Mid,L,2,7670.82,0.49,7824.24,2024-09-23,Online,Kolkata,-87.95,September
2213,Women,Running,Air Zoom,M,2,5714.92,0.5,5714.92,2025-01-16,Online,Delhi,3741.14,January
2214,Men,Basketball,LeBron 20,XL,2,5016.03,0.48,5216.67,2024-12-21,Retail,Mumbai,1446.0,December
2215,Men,Basketball,Zoom Freak,XL,3,6304.01,0.36,12103.7,2024-12-16,Online,Kolkata,3254.06,December
2216,Women,Lifestyle,Air Force 1,M,1,3346.95,0.49,1586.93,2025-01-16,Online,Hyderabad,2617.56,January
2217,Women,Lifestyle,Waffle One,L,2,5582.98,0.49,5694.64,2025-04-15,Retail,Delhi,2190.84,April
2218,Kids,Soccer,Premier III,S,2,5598.98,0.5,5598.98,2025-01-16,Online,Bengaluru,1440.02,January
2219,Women,Basketball,Air Jordan,M,2,6165.08,0.48,6411.68,2025-01-16,Online,Bengaluru,3305.72,January
2220,Kids,Training,SuperRep Go,M,2,5280.57,0.47,5597.4,2024-09-09,Online,Kolkata,890.14,September
2221,Kids,Lifestyle,Waffle One,L,2,3375.97,0.49,3443.49,2024-01-06,Retail,Mumbai,-297.05,January
2222,Men,Training,ZoomX Invincible,XL,2,8503.27,0.11,14613.12875,2024-12-21,Retail,Mumbai,2821.69,December
2223,Kids,Training,Flex Trainer,M,2,8503.27,0.47,9730.96,2025-02-15,Online,Kolkata,799.28,February
2224,Kids,Lifestyle,Dunk Low,L,2,6202.99,0.12,10917.26,2024-09-24,Online,Pune,3278.7,September
2225,Kids,Basketball,Kyrie Flytrap,L,2,5066.14,0.48,5268.79,2024-12-21,Retail,Hyderabad,1136.63,December
2226,Women,Basketball,Zoom Freak,M,2,6304.01,0.31,8699.53,2025-06-28,Online,Delhi,-131.04,June
2228,Kids,Basketball,Zoom Freak,M,2,8503.27,0.48,9757.44,2024-08-22,Online,Kolkata,-127.34,August
2229,Men,Running,Air Zoom,XL,2,7143.23,0.5,7143.23,2025-03-26,Retail,Mumbai,3284.36,March
2230,Kids,Lifestyle,Dunk Low,L,2,6202.99,0.49,6327.05,2025-01-16,Online,Bengaluru,781.56,January
2231,Kids,Training,Flex Trainer,M,0,6424.54,0.47,0.0,2025-01-04,Online,Bengaluru,-39.48,January
2232,Women,Running,Free RN,XL,2,3346.95,0.32,2923.02,2024-11-17,Online,Kolkata,2409.87,November
2233,Men,Lifestyle,Air Force 1,XL,0,6235.995,0.49,0.0,2025-01-16,Online,Kolkata,2398.07,January
2234,Men,Training,Flex Trainer,M,4,6189.1,0.47,13120.89,2024-12-21,Retail,Bengaluru,2085.62,December
2236,Men,Soccer,Mercurial Superfly,M,2,6569.65,0.5,6569.65,2025-01-16,Online,Delhi,880.62,January
2237,Kids,Training,Metcon 7,M,2,5089.88,0.47,5395.27,2025-06-26,Online,Mumbai,-238.18,June
2238,Kids,Training,SuperRep Go,L,3,4348.86,0.47,6914.69,2025-01-16,Online,Delhi,662.02,January
2239,Men,Training,SuperRep Go,XL,2,5280.57,0.47,5597.4,2024-08-04,Online,Kolkata,1750.71,August
